,MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
66,34,FRA,34,FRA,309,428,63.92857143,1,10,4,50,10,12,98.76299999999999,36.324,6,37.755,1,1,9.0,82.57142857,956.0,41.42857143,15.78571429,2,-1,2010
67,34,RSA,34,RSA,381,491,78.71428571,2,21,10,50,12,10,106.661,38.44,3,40.645,0,0,8.571428571,83.07142857,936.0,42.35714286,16.0,1,1,2010
68,35,KOR,35,KOR,364,490,69.07142857,2,16,8,55,12,20,107.515,42.424,0,41.9,0,0,11.78571429,79.5,1041.0,41.71428571,15.57142857,2,0,2010
69,35,NGA,35,NGA,301,438,65.28571429,2,11,4,45,22,12,99.304,37.345,0,40.217,0,0,7.785714286,84.92857143,843.0,39.57142857,15.5,2,0,2010
70,36,ARG,36,ARG,662,800,82.28571429,2,22,12,67,8,13,99.455,56.025,0,26.575,0,0,9.357142857000001,82.57142857,927.0,56.14285714,29.57142857,0,1,2010
71,36,GRE,36,GRE,145,277,53.42857143,0,7,3,33,15,8,98.89200000000001,24.62,0,57.342,0,0,7.642857143,84.71428571,800.0,23.07142857,5.785714286,2,-1,2010
72,37,ENG,37,ENG,419,575,65.30769231,1,13,8,65,20,17,106.891,47.699,0,38.403,0,0,9.846153846,81.46153846,1081.0,48.46153846,22.69230769,0,1,2010
73,37,SVN,37,SVN,241,391,58.07692308,0,13,6,35,19,18,106.839,36.753,0,49.43,0,0,9.076923077,82.23076923,1063.0,38.30769231,14.92307692,1,-1,2010
74,38,ALG,38,ALG,331,447,68.78571429,0,19,4,53,21,8,104.54,39.025,0,40.471,0,0,10.14285714,82.07142857,1156.0,39.14285714,15.78571429,1,-1,2010
75,38,USA,38,USA,350,470,67.07142857,1,22,10,47,11,20,110.619,42.608999999999995,0,41.67,0,0,9.714285713999999,81.57142857,1227.0,46.85714286,21.14285714,0,1,2010
76,39,GER,39,GER,491,640,76.42857143,1,13,6,52,5,10,108.94,51.518,0,40.088,0,0,9.714285713999999,81.42857143,1098.0,40.0,15.28571429,0,1,2010
77,39,GHA,39,GHA,325,460,63.5,0,17,5,48,11,4,106.051,37.37,0,52.308,0,0,10.21428571,81.14285714,1037.0,44.35714286,13.0,1,-1,2010
78,40,AUS,40,AUS,321,481,63.21428571,2,17,7,50,25,9,121.508,42.431000000000004,0,58.461999999999996,0,0,13.07142857,76.5,1546.0,37.71428571,14.92857143,1,1,2010
79,40,SRB,40,SRB,418,579,63.85714286,1,23,6,50,10,25,117.075,56.088,0,41.37,0,0,10.42857143,79.92857143,1164.0,50.35714286,21.92857143,2,-1,2010
80,41,ITA,41,ITA,367,487,74.78571429,2,16,6,43,17,20,104.23100000000001,40.435,0,35.772,0,0,9.0,83.07142857,963.0,40.92857143,16.71428571,3,-1,2010
81,41,SVK,41,SVK,292,422,61.57142857,3,12,4,57,20,16,106.4,35.152,0,41.545,0,0,8.071428571,84.78571429,953.0,30.71428571,11.64285714,2,1,2010
82,42,NZL,42,NZL,215,362,60.76923077,0,4,0,46,19,11,97.495,31.503,0,46.13399999999999,0,0,7.538461538,85.0,770.0,34.46153846,11.38461538,0,0,2010
83,42,PAR,42,PAR,439,580,70.23076923,0,17,5,54,13,17,102.55,46.135,0,33.861,0,0,7.461538462,85.0,864.0,50.07692308,20.69230769,0,0,2010
84,43,DEN,43,DEN,464,592,76.35714286,1,19,7,49,23,10,107.51799999999999,44.813,0,33.841,0,0,9.142857142999999,82.0,994.0,50.64285714,23.42857143,3,-1,2010
85,43,JPN,43,JPN,220,348,57.0,3,15,10,51,10,23,112.904,34.123000000000005,0,47.896,0,0,10.28571429,81.35714286,1235.0,30.5,13.64285714,1,1,2010
86,44,CMR,44,CMR,431,616,67.78571429,1,15,3,51,18,13,102.38600000000001,44.28,3,39.905,2,0,8.071428571,84.0,977.0,45.28571429,18.07142857,2,-1,2010
87,44,NED,44,NED,369,563,62.71428571,2,15,8,49,15,17,104.397,38.98,6,45.788000000000004,3,0,8.357142857000001,83.71428571,956.0,38.78571429,11.85714286,1,1,2010
88,45,BRA,45,BRA,596,712,79.57142857,0,19,5,63,18,10,102.22200000000001,50.544,0,31.619,0,0,8.785714286000001,83.28571429,965.0,52.28571429,23.21428571,0,0,2010
89,45,POR,45,POR,275,398,66.21428571,0,13,3,37,11,16,108.585,32.693000000000005,0,55.794,0,0,9.714285713999999,81.92857143,1120.0,25.14285714,8.357142857000001,0,0,2010
90,46,CIV,46,CIV,470,622,74.42857143,3,28,14,71,16,13,105.46600000000001,51.915,4,34.602,0,0,8.714285713999999,83.42857143,941.0,59.0,31.85714286,0,1,2010
91,46,PRK,46,PRK,242,414,59.75,0,7,3,29,13,16,104.897,32.882,2,54.062,0,0,9.083333332999999,82.91666667,963.0,21.66666667,5.916666667,3,-1,2010
92,47,CHI,47,CHI,292,406,68.28571429,1,9,4,41,21,13,100.296,32.258,3,45.934,4,1,10.28571429,80.85714286,1077.0,33.92857143,12.64285714,2,-1,2010
