MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
54,ALG,54,ALG,335,504,66.57142857142857,1.0,11.0,7.0,20.0,10.0,124.53200000000001,30483,4.0,54044,1.0,0.0,10.5,81.0,456.0,28.428571428571427,10.928571428571429,2,-1,2018
54,GER,54,GER,768,940,79.0,2.0,29.0,22.0,11.0,18.0,127.414,53725,4.0,32117,1.0,0.0,11.214285714285714,79.42857142857143,416.0,42.285714285714285,20.571428571428573,1,1,2018
55,ARG,55,ARG,587,768,74.64285714285714,1.0,29.0,22.0,19.0,26.0,135.266,55964,0.0,37932,3.0,0.0,8.5,84.85714285714286,482.0,50.214285714285715,27.214285714285715,0,1,2018
55,SUI,55,SUI,335,489,68.21428571428571,0.0,14.0,7.0,28.0,19.0,147.20600000000002,38998,1.0,63536,2.0,0.0,9.214285714285714,82.42857142857143,495.0,35.714285714285715,16.5,1,-1,2018
56,BEL,56,BEL,454,607,72.35714285714286,2.0,38.0,26.0,27.0,10.0,147.259,49978,0.0,54951,0.0,0.0,9.0,83.57142857142857,506.0,49.642857142857146,25.428571428571427,1,1,2018
56,USA,56,USA,579,746,73.85714285714286,1.0,14.0,9.0,11.0,24.0,154.944,56392,0.0,53883,0.0,0.0,10.142857142857142,81.14285714285714,627.0,36.142857142857146,16.857142857142858,2,-1,2018
57,BRA,57,BRA,265,369,69.42857142857143,2.0,12.0,6.0,31.0,23.0,96.40100000000001,27709,0.0,26925,0.0,0.0,8.785714285714286,85.14285714285714,344.0,31.5,14.0,1,1,2018
57,COL,57,COL,253,368,68.0,1.0,11.0,5.0,23.0,30.0,98.53099999999999,27306,0.0,28528,0.0,0.0,7.857142857142857,86.07142857142857,366.0,50.857142857142854,28.571428571428573,2,-1,2018
58,FRA,58,FRA,376,511,76.71428571428571,0.0,13.0,9.0,15.0,16.0,100.53099999999999,34765,3.0,35927,0.0,0.0,8.428571428571429,84.07142857142857,331.0,38.642857142857146,17.142857142857142,1,-1,2018
58,GER,58,GER,378,517,62.07142857142857,1.0,8.0,6.0,18.0,15.0,107.68800000000002,37589,0.0,39353,2.0,0.0,10.857142857142858,80.07142857142857,330.0,42.07142857142857,17.785714285714285,0,1,2018
59,CRC,59,CRC,306,456,65.0,3.0,6.0,3.0,13.0,14.0,140.588,34969,0.0,64703,0.0,0.0,8.357142857142858,84.28571428571429,432.0,31.0,10.357142857142858,4,-1,2018
59,NED,59,NED,671,821,74.42857142857143,4.0,20.0,15.0,15.0,11.0,133.03,58208,0.0,36589,0.0,0.0,8.357142857142858,85.64285714285714,420.0,49.42857142857143,26.214285714285715,3,1,2018
60,ARG,60,ARG,326,443,73.14285714285714,1.0,10.0,7.0,11.0,13.0,104.85600000000004,35107,1.0,35041,1.0,0.0,8.714285714285714,83.92857142857143,366.0,34.857142857142854,14.571428571428571,0,1,2018
60,BEL,60,BEL,351,476,72.14285714285714,0.0,10.0,4.0,14.0,10.0,106.78899999999997,34725,6.0,37506,2.0,0.0,8.571428571428571,84.14285714285714,358.0,52.285714285714285,25.357142857142858,1,-1,2018
61,BRA,61,BRA,433,547,77.28571428571429,1.0,18.0,13.0,11.0,14.0,108.903,42675,3.0,44119,1.0,0.0,11.5,79.71428571428571,493.0,45.785714285714285,21.857142857142858,7,-1,2018
61,GER,61,GER,483,592,80.0,7.0,14.0,12.0,14.0,10.0,119.329,46592,0.0,47825,0.0,0.0,11.357142857142858,78.92857142857143,467.0,39.42857142857143,16.785714285714285,1,1,2018
62,ARG,62,ARG,490,639,70.85714285714286,4.0,8.0,5.0,10.0,14.0,135.415,46374,4.0,57704,1.0,0.0,8.357142857142858,84.5,493.0,38.285714285714285,15.285714285714286,2,1,2018
62,NED,62,NED,656,818,80.35714285714286,2.0,7.0,3.0,15.0,10.0,139.428,56281,4.0,51551,2.0,0.0,8.214285714285714,83.78571428571429,466.0,42.357142857142854,15.714285714285714,4,-1,2018
63,BRA,63,BRA,482,597,79.71428571428571,0.0,11.0,5.0,16.0,20.0,104.896,41177,0.0,32862,0.0,0.0,9.142857142857142,83.57142857142857,439.0,48.785714285714285,22.5,3,-1,2018
63,NED,63,NED,313,410,72.5,3.0,8.0,5.0,20.0,14.0,112.944,33367,0.0,45491,0.0,0.0,9.0,82.85714285714286,423.0,27.5,10.071428571428571,0,1,2018
