MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
35,IRN,35,IRN,155,226,75.14285714,1,8,2,32,16,10,105.281,25.248,0,49.019,0,0,9.25,82.48114286,399,33.5,14.28571429,1,0,2018
35,POR,35,POR,548,619,78.5,1,14,4,68,11,15,89.672,45.538,0,26.623,0,0,8.919642859,82.67207143,317,39.78571429,19.5,1,0,2018
36,ESP,36,ESP,694,762,89,2,16,4,68,5,17,103.467,56.277,0,27.922,0,0,9.580357141,82.60842857,363,59.35714286,33.07142857,2,0,2018
36,MAR,36,MAR,207,247,84.78571429,2,6,3,32,17,5,51.06,26.548,0,64.036,0,0,10.57142857,82.22657143,384,25.35714286,9.285714286,2,0,2018
37,DEN,37,DEN,224,303,69,0,5,1,38,10,10,106.144,30.481,0,58.115,1,0,7.598214286,83.05392857,273,31.28571429,13.35714286,0,0,2018
37,FRA,37,FRA,581,667,83.64285714,0,11,4,62,10,10,63.543,54.695,1,32.405,0,0,9.910714286,83.05392857,343,52.71428571,27.64285714,0,0,2018
38,AUS,38,AUS,479,554,78.85714286,0,14,2,53,13,11,104.929,44.469,3,37.257,4,0,9.580357141,83.05392857,296,53.07142857,28.64285714,2,-1,2018
38,PER,38,PER,339,417,80.21428571,2,4,3,47,12,13,80.452,32.262,1,45.693,2,0,7.928571427,83.05392857,316,30.35714286,10.14285714,0,1,2018
39,ARG,39,ARG,476,565,75.85714286,2,8,4,66,15,18,91.267,46.52,0,28.018,0,0,8.919642859,83.18121429,328,47.57142857,23,1,1,2018
39,NGA,39,NGA,186,244,71.71428571,1,9,3,34,20,15,97.764,24.087,0,49.046,0,0,6.9375,83.81764286,299,33.35714286,14.35714286,2,-1,2018
40,CRO,40,CRO,458,524,85.42857143,2,13,2,59,12,10,81.356,42.626,0,31.954,2,0,9.25,83.18121429,292,38.14285714,18.92857143,1,1,2018
40,ISL,40,ISL,238,324,63.14285714,1,17,6,41,10,10,103.324,30.502,1,45.098,3,0,10.90178571,82.22657143,306,45.14285714,24.5,2,-1,2018
41,BRA,41,BRA,556,630,86.64285714,2,13,6,56,7,11,74.683,45.941,0,40.529,0,0,8.258928573,82.79935714,333,36.07142857,14.35714286,0,1,2018
41,SRB,41,SRB,362,462,69.42857143,0,10,1,44,13,7,114.168,40.751,0,53.746,0,0,12.88392857,81.59014286,378,46.85714286,24.5,2,-1,2018
