MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year,ball_possession
25,NED,25,NED,517,668,71.57142857,1,9,5,,18,11,104.261,47.011,2,30.184,1,0,9.785714286,82.35714286,967,47.5,16.85714286,0,1,2010,0.65
26,CMR,26,CMR,429,559,74.5,1,23,8,,9,10,99.675,42.437,1,37.427,2,0,8.642857143,83.92857143,1005,53.71428571,28.07142857,2,-1,2010,0.53
26,DEN,26,DEN,319,444,69.57142857,2,13,6,,12,8,106.78,38.638,1,46.433,2,0,10.28571429,80.71428571,1054,30.78571429,9.071428571,1,1,2010,0.47
27,PAR,27,PAR,308,457,57.28571429,2,11,5,,18,14,99.468,35.408,0,39.742,0,0,8.285714286,84,891,47.78571429,20,0,1,2010,0.55
27,SVK,27,SVK,330,469,68.53846154,0,6,1,,14,16,99.122,39.098,0,36.556,0,0,7.153846154,85.84615385,797,38.46153846,12.84615385,2,-1,2010,0.45
28,ITA,28,ITA,426,571,71.5,1,23,7,,11,23,105.886,48.908,0,33.17,0,0,9.285714286,82.5,952,58.42857143,31.35714286,1,0,2010,0.54
28,NZL,28,NZL,162,310,44.35714286,1,3,1,,25,10,104.617,32.058,0,49.523,0,0,8.928571429,82.71428571,778,25.64285714,8.357142857,1,0,2010,0.46
29,BRA,29,BRA,456,545,75.46153846,3,12,6,,17,23,97.67,38.744,0,34.483,0,0,8.230769231,84.76923077,765,39,11.76923077,1,1,2010,0.54
29,CIV,29,CIV,305,400,75.28571429,1,10,4,,23,17,95.748,33.109,0,40.579,0,0,7.357142857,86.21428571,834,42.5,16.71428571,3,-1,2010,0.46
30,POR,30,POR,440,586,72.85714286,7,26,13,,18,3,109.981,46.62,2,36.924,2,0,10.28571429,80.5,1127,46.21428571,19.78571429,0,1,2010,0.57
30,PRK,30,PRK,323,461,70.64285714,0,15,4,,3,18,106.014,35.036,3,48.369,2,0,10.42857143,81.07142857,1271,35.5,12.14285714,7,-1,2010,0.43
31,CHI,31,CHI,437,570,73.71428571,1,20,7,,19,26,111.528,50.59,0,33.634,0,0,9.857142857,81.85714286,1222,49.64285714,25.14285714,0,1,2010,0.58
31,SUI,31,SUI,165,296,56,0,7,1,,26,13,103.406,30.683,0,47.435,0,0,9.285714286,81.92857143,989,40.21428571,16.92857143,1,-1,2010,0.42
32,ESP,32,ESP,486,632,74.07142857,2,22,7,,9,17,105.572,45.857,1,37.09,0,0,9.571428571,81.64285714,1010,49.5,23.92857143,0,1,2010,0.66
32,HON,32,HON,293,429,68.5,0,9,0,,19,9,104.53,34.601,7,48.318,2,0,9,82.14285714,886,35.07142857,11.78571429,2,-1,2010,0.34
33,MEX,33,MEX,476,595,79.35714286,0,11,2,,20,13,106.235,49.918,0,36.406,0,0,9.071428571,82.71428571,945,47.21428571,22.21428571,1,-1,2010,0.54
33,URU,33,URU,188,315,56.76923077,1,15,5,,13,20,102.155,33.17,0,48.98,0,0,8.384615385,84.38461538,1004,30.30769231,12.61538462,0,1,2010,0.46
34,FRA,34,FRA,309,428,63.92857143,1,10,4,,10,12,98.763,36.324,6,37.755,1,1,9,82.57142857,956,41.42857143,15.78571429,2,-1,2010,0.5
34,RSA,34,RSA,381,491,78.71428571,2,21,10,,12,10,106.661,38.44,3,40.645,0,0,8.571428571,83.07142857,936,42.35714286,16,1,1,2010,0.5
35,KOR,35,KOR,364,490,69.07142857,2,16,8,,12,20,107.515,42.424,0,41.9,0,0,11.78571429,79.5,1041,41.71428571,15.57142857,2,0,2010,0.55
35,NGA,35,NGA,301,438,65.28571429,2,11,4,,22,12,99.304,37.345,0,40.217,0,0,7.785714286,84.92857143,843,39.57142857,15.5,2,0,2010,0.45
36,ARG,36,ARG,662,800,82.28571429,2,22,12,,8,13,99.455,56.025,0,26.575,0,0,9.357142857,82.57142857,927,56.14285714,29.57142857,0,1,2010,0.67
36,GRE,36,GRE,145,277,53.42857143,0,7,3,,15,8,98.892,24.62,0,57.342,0,0,7.642857143,84.71428571,800,23.07142857,5.785714286,2,-1,2010,0.33
37,ENG,37,ENG,419,575,65.30769231,1,13,8,,20,17,106.891,47.699,0,38.403,0,0,9.846153846,81.46153846,1081,48.46153846,22.69230769,0,1,2010,0.65
37,SVN,37,SVN,241,391,58.07692308,0,13,6,,19,18,106.839,36.753,0,49.43,0,0,9.076923077,82.23076923,1063,38.30769231,14.92307692,1,-1,2010,0.35
38,ALG,38,ALG,331,447,68.78571429,0,19,4,,21,8,104.54,39.025,0,40.471,0,0,10.14285714,82.07142857,1156,39.14285714,15.78571429,1,-1,2010,0.53
38,USA,38,USA,350,470,67.07142857,1,22,10,,11,20,110.619,42.609,0,41.67,0,0,9.714285714,81.57142857,1227,46.85714286,21.14285714,0,1,2010,0.47
39,GER,39,GER,491,640,76.42857143,1,13,6,,5,10,108.94,51.518,0,40.088,0,0,9.714285714,81.42857143,1098,40,15.28571429,0,1,2010,0.52
39,GHA,39,GHA,325,460,63.5,0,17,5,,11,4,106.051,37.37,0,52.308,0,0,10.21428571,81.14285714,1037,44.35714286,13,1,-1,2010,0.48
40,AUS,40,AUS,321,481,63.21428571,2,17,7,,25,9,121.508,42.431,0,58.462,0,0,13.07142857,76.5,1546,37.71428571,14.92857143,1,1,2010,0.5
40,SRB,40,SRB,418,579,63.85714286,1,23,6,,10,25,117.075,56.088,0,41.37,0,0,10.42857143,79.92857143,1164,50.35714286,21.92857143,2,-1,2010,0.5
41,ITA,41,ITA,367,487,74.78571429,2,16,6,,17,20,104.231,40.435,0,35.772,0,0,9,83.07142857,963,40.92857143,16.71428571,3,-1,2010,0.43
